    country     | id  |        chat_username         |                        title                        | participants 
 Южная Корея    | 407 | autopartskorea_eurasiamotors | 1,564 — Автоаксессуары из Кореи 'Eurasia Motors'    |             
 Южная Корея    | 416 | fishretailtrade              | 1,321 — Fishretail.ru 🐟 Рыба, икра оптом           |             
 Южная Корея    | 415 | domvkoree                    | 10,172 — ДОМ. Вся Корея                             |             
 Южная Корея    | 431 | rabota_vsya_korea            | 21,699 — РАБОТА. Вся Корея                          |             
 Южная Корея    | 430 | pro1000parts                 | 973 — заведи японца!                                |             
 Южная Корея    | 429 | ozonfbohelp                  | 5,315 — Ozon: поддержка по поставкам FBO            |             
 Южная Корея    | 428 | nepopaldomoichat             | 1,380 — Южная Корея-РФ. Взаимопомощь                |             
 Южная Корея    | 427 | mykoreanwork                 | 4,161 — РАБОТА КОРЕЯ                                |             
 Южная Корея    | 426 | milknettrade                 | 689 — Milknet.ru 🥛🧀 Молоко, сыр оптом             |             
(84 rows)

